timestamp,users,gpu_t,gpu_a,gpu_nvml,gpu_duty,vram_t,vram_a,cpu_t,cpu_a,ram_t,ram_a
2026-09-10T11:44:44,,40.0,39.9,0.0,0.436,0.0,30.1,0.0,12.2,0.0,11.4
2026-09-10T11:44:46,,40.0,41.6,0.0,0.428,0.0,30.1,0.0,13.1,0.0,11.3
2026-09-10T11:44:48,,40.0,39.8,0.0,0.429,0.0,30.1,0.0,13.9,0.0,11.3
2026-09-10T11:44:50,,40.0,39.5,0.0,0.432,0.0,30.1,0.0,13.7,0.0,11.3
2026-09-10T11:44:52,,40.0,40.0,0.0,0.431,0.0,30.1,0.0,11.9,0.0,11.3
2026-09-10T11:44:54,,40.0,39.3,0.0,0.435,0.0,30.1,0.0,13.8,0.0,11.3
2026-09-10T11:44:56,,40.0,40.6,0.0,0.432,0.0,30.1,0.0,11.5,0.0,11.4
2026-09-10T11:44:58,,40.0,40.1,0.0,0.432,0.0,30.1,0.0,11.7,0.0,11.4
2026-09-10T11:45:00,,40.0,39.5,0.0,0.434,0.0,30.1,0.0,16.3,0.0,11.4
2026-09-10T11:45:02,,40.0,40.2,0.0,0.433,0.0,30.1,0.0,14.1,0.0,11.3
2026-09-10T11:45:04,,40.0,39.1,0.0,0.437,0.0,30.1,0.0,11.6,0.0,11.4
2026-09-10T11:45:06,,40.0,40.3,0.0,0.436,0.0,30.1,0.0,13.0,0.0,11.4
2026-09-10T11:45:08,,40.0,40.2,0.0,0.435,0.0,30.1,0.0,13.6,0.0,11.4
2026-09-10T11:45:10,,40.0,39.9,6.0,0.435,0.0,30.1,0.0,15.6,0.0,11.4
2026-09-10T11:45:12,,40.0,40.2,0.0,0.434,0.0,30.1,0.0,17.9,0.0,11.4
2026-09-10T11:45:14,,40.0,39.9,0.0,0.435,0.0,30.1,0.0,13.8,0.0,11.4
2026-09-10T11:45:16,,40.0,40.6,0.0,0.432,0.0,29.9,0.0,15.1,0.0,11.4
2026-09-10T11:45:18,,40.0,40.2,0.0,0.431,0.0,29.9,0.0,13.5,0.0,11.4
2026-09-10T11:45:20,,40.0,39.6,0.0,0.433,0.0,29.9,0.0,14.7,0.0,11.4
2026-09-10T11:45:22,,40.0,40.3,0.0,0.431,0.0,29.9,0.0,14.7,0.0,11.4
2026-09-10T11:45:24,,40.0,39.9,0.0,0.432,0.0,30.0,0.0,15.1,0.0,11.4
2026-09-10T11:45:26,,40.0,39.9,0.0,0.433,0.0,30.0,0.0,12.4,0.0,11.4
2026-09-10T11:45:28,,40.0,40.7,0.0,0.429,0.0,30.0,0.0,13.6,0.0,11.4
2026-09-10T11:45:30,,40.0,39.8,5.0,0.430,0.0,29.9,0.0,15.4,0.0,11.4
2026-09-10T11:45:32,,40.0,40.4,4.0,0.428,0.0,30.1,0.0,14.4,0.0,11.4
2026-09-10T11:45:34,,40.0,39.9,0.0,0.429,0.0,30.1,0.0,16.5,0.0,11.4
2026-09-10T11:45:36,,40.0,39.6,0.0,0.431,0.0,30.0,0.0,14.3,0.0,11.4
2026-09-10T11:45:38,,40.0,39.7,0.0,0.432,0.0,30.0,0.0,14.0,0.0,11.4
2026-09-10T11:45:40,,40.0,40.8,0.0,0.428,0.0,30.0,0.0,15.1,0.0,11.4
2026-09-10T11:45:42,,40.0,40.0,0.0,0.428,0.0,30.0,0.0,13.5,0.0,11.4
2026-09-10T11:45:44,,40.0,39.0,0.0,0.433,0.0,30.0,0.0,14.4,0.0,11.4
2026-09-10T11:45:46,,40.0,40.0,48.0,0.433,0.0,30.0,0.0,15.6,0.0,11.4
2026-09-10T11:45:48,,40.0,41.3,77.0,0.427,0.0,30.0,0.0,14.7,0.0,11.4
2026-09-10T11:45:50,,40.0,39.4,76.0,0.430,0.0,30.0,0.0,13.7,0.0,11.4
2026-09-10T11:45:52,,40.0,40.6,30.0,0.427,0.0,30.0,0.0,14.1,0.0,11.4
2026-09-10T11:45:54,,40.0,39.3,0.0,0.430,0.0,30.0,0.0,13.9,0.0,11.4
2026-09-10T11:45:56,,40.0,40.4,0.0,0.428,0.0,30.0,0.0,14.6,0.0,11.4
2026-09-10T11:45:58,,40.0,39.7,0.0,0.430,0.0,30.0,0.0,18.7,0.0,11.4
2026-09-10T11:46:00,,40.0,40.6,0.0,0.427,0.0,30.0,0.0,13.7,0.0,11.4
2026-09-10T11:46:02,,40.0,40.0,0.0,0.427,0.0,30.0,0.0,15.9,0.0,11.4
2026-09-10T11:46:04,,40.0,39.0,24.0,0.432,0.0,30.0,0.0,18.3,0.0,11.4
2026-09-10T11:46:06,,40.0,39.8,61.0,0.433,0.0,30.0,0.0,15.1,0.0,11.4
2026-09-10T11:46:08,,40.0,40.3,79.0,0.431,0.0,30.0,0.0,16.0,0.0,11.4
2026-09-10T11:46:10,,40.0,40.0,76.0,0.431,0.0,30.0,0.0,16.0,0.0,11.4
2026-09-10T11:46:12,,40.0,40.1,36.0,0.431,0.0,30.0,0.0,13.5,0.0,11.4
2026-09-10T11:46:14,,40.0,40.3,0.0,0.429,0.0,30.0,0.0,11.7,0.0,11.4
2026-09-10T11:46:16,,40.0,39.2,0.0,0.433,0.0,30.0,0.0,15.5,0.0,11.4
2026-09-10T11:46:18,,40.0,40.5,0.0,0.431,0.0,30.0,0.0,13.8,0.0,11.4
2026-09-10T11:46:20,,40.0,39.1,0.0,0.435,0.0,30.0,0.0,13.1,0.0,11.4
2026-09-10T11:46:22,,40.0,40.0,0.0,0.436,0.0,30.0,0.0,11.7,0.0,11.4
2026-09-10T11:46:24,,40.0,40.8,0.0,0.432,0.0,30.0,0.0,11.5,0.0,11.4
2026-09-10T11:46:26,,40.0,40.2,54.0,0.431,0.0,30.0,0.0,12.1,0.0,11.4
2026-09-10T11:46:28,,40.0,39.4,78.0,0.433,0.0,30.0,0.0,14.0,0.0,11.4
2026-09-10T11:46:30,,40.0,39.9,75.0,0.434,0.0,30.0,0.0,13.6,0.0,11.4
2026-09-10T11:46:32,,40.0,39.7,39.0,0.435,0.0,30.0,0.0,14.4,0.0,11.4
2026-09-10T11:46:34,,40.0,40.0,0.0,0.435,0.0,30.0,0.0,15.5,0.0,11.4
2026-09-10T11:46:36,,40.0,41.5,0.0,0.428,0.0,30.0,0.0,13.7,0.0,11.4
2026-09-10T11:46:38,,40.0,39.4,0.0,0.431,0.0,30.0,0.0,14.0,0.0,11.4
2026-09-10T11:46:40,,40.0,39.4,0.0,0.434,0.0,30.0,0.0,18.2,0.0,11.4
2026-09-10T11:46:42,,40.0,40.0,0.0,0.434,0.0,30.1,0.0,18.0,0.0,11.4
2026-09-10T11:46:44,,40.0,41.3,6.0,0.427,0.0,30.1,0.0,16.8,0.0,11.4
2026-09-10T11:46:46,,40.0,40.0,11.0,0.428,0.0,30.1,0.0,15.7,0.0,11.4
2026-09-10T11:46:48,,40.0,39.0,0.0,0.433,0.0,30.1,0.0,15.5,0.0,11.4
2026-09-10T11:46:50,,40.0,40.0,0.0,0.433,0.0,30.1,0.0,15.3,0.0,11.4
2026-09-10T11:46:52,,40.0,39.4,0.0,0.436,0.0,30.1,0.0,15.2,0.0,11.4
2026-09-10T11:46:54,,40.0,40.4,0.0,0.434,0.0,30.1,0.0,20.9,0.0,11.4
2026-09-10T11:46:56,,40.0,39.8,0.0,0.435,0.0,30.1,0.0,22.4,0.0,11.5
